method,fraction,run,algorithm,auc_score
nnar,0.25,12,RandomForestScorer,0.7856431720672084
nar,0.2,15,ModelScorer,0.7857142857142857
nar,0.5,2,AUMScorer,0.505902784631952
nar,0.05,18,RandomForestScorer,0.8636675566193412
nnar,0.25,15,ModelScorer,0.7142857142857143
ncar,0.4,11,RandomForestScorer,0.8178140353959118
nnar,0.45,9,ModelScorer,0.7142857142857142
ncar,0.45,1,RandomForestScorer,0.7959989793453992
nnar,0.15,11,AUMScorer,0.668034900207739
nar,0.15,11,RandomForestScorer,0.8506522136501712
ncar,0.35,0,AUMScorer,0.7767066782609751
nar,0.5,8,ModelScorer,0.7142857142857143
nnar,0.3,3,RandomForestScorer,0.8302671953946399
nnar,0.1,5,ModelScorer,0.8571428571428571
nar,0.3,12,RandomForestScorer,0.8349722385516102
ncar,0.05,19,ModelScorer,0.9285714285714286
nar,0.2,1,RandomForestScorer,0.833317204270325
nnar,0.45,4,AUMScorer,0.598367676241957
nnar,0.25,10,AUMScorer,0.6614906374008768
nar,0.05,16,AUMScorer,0.6911933236186087
nnar,0.2,11,AUMScorer,0.6447955172377918
nnar,0.1,13,RandomForestScorer,0.8230870542247111
ncar,0.05,5,RandomForestScorer,0.8978214469770872
ncar,0.5,11,AUMScorer,0.4446534390529819
nnar,0.15,3,RandomForestScorer,0.810687693855697
ncar,0.4,0,AUMScorer,0.5733948617994177
nnar,0.05,7,ModelScorer,0.8571428571428571
ncar,0.45,12,AUMScorer,0.5601640274913116
ncar,0.2,9,RandomForestScorer,0.8402604769256359
nnar,0.25,7,ModelScorer,0.7142857142857143
nnar,0.35,13,AUMScorer,0.7210846985488234
ncar,0.25,18,AUMScorer,0.7784041769417614
ncar,0.25,2,ModelScorer,0.8571428571428571
ncar,0.1,8,AUMScorer,0.7350735426823669
nnar,0.35,19,ModelScorer,0.7142857142857143
nnar,0.5,5,AUMScorer,0.5429603819273674
ncar,0.35,11,RandomForestScorer,0.7974074155748069
nar,0.45,17,ModelScorer,0.7142857142857143
nnar,0.2,3,RandomForestScorer,0.8232330700236448
nar,0.3,7,ModelScorer,0.7857142857142857
ncar,0.3,12,RandomForestScorer,0.8257127656860241
nar,0.5,5,AUMScorer,0.8250536603911528
ncar,0.35,5,ModelScorer,0.7857142857142857
nnar,0.1,2,AUMScorer,0.7414393854042621
nnar,0.35,5,RandomForestScorer,0.8089010907648796
ncar,0.05,16,AUMScorer,0.636481131559928
ncar,0.25,19,AUMScorer,0.525842681265264
nnar,0.15,14,AUMScorer,0.806795889219935
nnar,0.3,6,RandomForestScorer,0.8083964292996006
