method,fraction,run,algorithm,auc_score
ncar,0.2,5,AUMScorer,0.4836547515121734
nnar,0.5,13,RandomForestScorer,0.7353432592972489
nnar,0.45,17,AUMScorer,0.5109483351582708
nnar,0.15,14,ModelScorer,0.8571428571428571
nnar,0.15,3,RandomForestScorer,0.8078991273686497
nar,0.1,10,RandomForestScorer,0.8682700537540098
nnar,0.5,7,AUMScorer,0.923238312684638
nar,0.45,14,AUMScorer,0.502917854757742
ncar,0.4,15,RandomForestScorer,0.7828047133832272
nar,0.15,0,RandomForestScorer,0.837909616279879
nar,0.5,4,AUMScorer,0.5006224812500623
ncar,0.45,5,RandomForestScorer,0.7842307322978167
nar,0.3,4,AUMScorer,0.490095089676869
ncar,0.35,3,ModelScorer,0.6428571428571428
nar,0.1,12,ModelScorer,1.0
nar,0.25,11,RandomForestScorer,0.8115385891939308
nnar,0.1,3,ModelScorer,0.9285714285714286
ncar,0.5,18,RandomForestScorer,0.7768399359741405
nnar,0.4,14,ModelScorer,0.6428571428571428
nnar,0.2,14,ModelScorer,0.8571428571428571
nar,0.2,0,RandomForestScorer,0.8280504197261549
nnar,0.5,16,RandomForestScorer,0.7322036632636962
nar,0.45,17,RandomForestScorer,0.7784065567005508
nar,0.15,6,AUMScorer,0.8912274460280806
nnar,0.05,9,ModelScorer,0.9285714285714284
ncar,0.45,6,RandomForestScorer,0.786403313921052
nar,0.4,13,ModelScorer,0.8571428571428572
nnar,0.05,11,AUMScorer,0.9506796436044312
nar,0.05,0,ModelScorer,1.0
ncar,0.1,10,ModelScorer,0.8571428571428572
nnar,0.2,15,AUMScorer,0.5085637350128908
nar,0.2,4,ModelScorer,0.8571428571428571
nnar,0.25,5,AUMScorer,0.9481858945743132
nnar,0.05,8,RandomForestScorer,0.8424488883204455
nar,0.2,6,AUMScorer,0.9436620663454838
ncar,0.35,15,RandomForestScorer,0.7892420998377647
nar,0.5,16,ModelScorer,0.6428571428571428
ncar,0.2,14,RandomForestScorer,0.8257114823351187
nar,0.3,8,AUMScorer,0.5107239410615637
nnar,0.2,12,RandomForestScorer,0.7834631703274217
nar,0.35,6,ModelScorer,0.7857142857142857
nar,0.35,8,AUMScorer,0.5137838858602031
nnar,0.35,8,AUMScorer,0.9620191470483682
ncar,0.05,10,RandomForestScorer,0.9067293489309508
nnar,0.35,14,RandomForestScorer,0.7644826357203972
ncar,0.45,6,ModelScorer,0.7142857142857143
nnar,0.15,14,AUMScorer,0.6429405345751849
ncar,0.45,8,AUMScorer,0.4954055582845375
nar,0.4,7,RandomForestScorer,0.7912732307588797
ncar,0.1,4,RandomForestScorer,0.8694024360686496
ncar,0.2,15,RandomForestScorer,0.8311536696902332
nar,0.5,17,ModelScorer,0.8571428571428571
nnar,0.4,17,AUMScorer,0.9579459717291334
ncar,0.25,5,RandomForestScorer,0.8052119674484846
nnar,0.45,7,AUMScorer,0.948101236579884
nnar,0.1,3,RandomForestScorer,0.8237663961103053
ncar,0.05,10,ModelScorer,1.0
nnar,0.35,14,ModelScorer,0.7142857142857142
ncar,0.05,12,AUMScorer,0.9335904448587984
nar,0.15,6,RandomForestScorer,0.8423751219188147
ncar,0.15,3,ModelScorer,0.8571428571428571
nnar,0.5,6,ModelScorer,0.7857142857142857
nnar,0.05,11,RandomForestScorer,0.8630431866333063
ncar,0.3,6,RandomForestScorer,0.8040646794818542
ncar,0.2,15,ModelScorer,0.7857142857142857
ncar,0.5,0,AUMScorer,0.984147150907854
nnar,0.2,15,RandomForestScorer,0.7771373807642563
ncar,0.2,17,AUMScorer,0.943988574911879
ncar,0.35,18,AUMScorer,0.9313822665380092
nar,0.35,9,ModelScorer,0.5714285714285714
nnar,0.25,5,RandomForestScorer,0.7951909646895178
ncar,0.25,7,AUMScorer,0.9410917244543088
nar,0.3,17,RandomForestScorer,0.7982163515772133
nar,0.2,6,RandomForestScorer,0.8223597178734228
nar,0.15,15,ModelScorer,0.9285714285714284
nnar,0.1,5,AUMScorer,0.9506145491043712
nar,0.15,17,AUMScorer,0.953593657941331
nnar,0.35,17,RandomForestScorer,0.7292195698519246
nnar,0.15,17,AUMScorer,0.9508317557066136
nar,0.35,8,RandomForestScorer,0.7984304123068202
ncar,0.45,17,RandomForestScorer,0.7811993761924394
nnar,0.3,18,AUMScorer,0.960938943384309
nar,0.4,10,AUMScorer,0.969843158444202
nnar,0.2,2,ModelScorer,0.7857142857142857
nnar,0.25,14,ModelScorer,0.7857142857142858
ncar,0.1,7,AUMScorer,0.9184032204554384
ncar,0.3,6,ModelScorer,0.9285714285714284
ncar,0.4,18,AUMScorer,0.5000728763440102
nar,0.05,3,RandomForestScorer,0.9038147722398608
nnar,0.25,16,AUMScorer,0.93468197885377
nar,0.2,15,ModelScorer,0.8571428571428571
nnar,0.45,10,AUMScorer,0.5125377940144712
nar,0.25,5,ModelScorer,0.7142857142857142
nnar,0.5,0,AUMScorer,0.5034848783038357
nar,0.3,17,ModelScorer,0.7857142857142857
nar,0.45,1,AUMScorer,0.4980694198346302
nar,0.3,19,AUMScorer,0.9222813329248306
nnar,0.3,5,ModelScorer,0.7142857142857143
nar,0.35,17,ModelScorer,0.8571428571428571
nar,0.5,13,AUMScorer,0.5060731227793988
nnar,0.4,17,RandomForestScorer,0.7877962933735337
nnar,0.45,7,RandomForestScorer,0.7731012893321145
nar,0.5,19,RandomForestScorer,0.7749856598013698
nnar,0.35,17,ModelScorer,0.7857142857142857
nnar,0.35,19,AUMScorer,0.5064276301040241
nar,0.15,9,AUMScorer,0.8851717163580232
ncar,0.45,17,ModelScorer,0.6428571428571428
ncar,0.3,7,ModelScorer,0.8571428571428571
nar,0.4,16,ModelScorer,0.6428571428571428
nnar,0.05,14,AUMScorer,0.9534421845261092
ncar,0.5,3,AUMScorer,0.9785718514834988
nar,0.05,3,ModelScorer,0.9285714285714284
ncar,0.1,13,ModelScorer,0.8571428571428571
ncar,0.25,10,AUMScorer,0.9441469830110824
nnar,0.45,16,ModelScorer,0.857142857142857
nar,0.05,5,AUMScorer,0.924689162062634
ncar,0.25,16,RandomForestScorer,0.8126951279882715
ncar,0.5,0,RandomForestScorer,0.7637451194632913
nar,0.2,9,AUMScorer,0.9328332292040648
ncar,0.35,18,RandomForestScorer,0.7949851874278936
nar,0.5,19,ModelScorer,0.5714285714285714
nnar,0.4,19,AUMScorer,0.9384000426146284
nar,0.35,11,AUMScorer,0.9717636096491464
nnar,0.1,5,RandomForestScorer,0.8231507617677456
nar,0.15,17,RandomForestScorer,0.8159162441132711
ncar,0.15,0,AUMScorer,0.4805608509600215
nar,0.05,6,RandomForestScorer,0.9121274763681286
ncar,0.45,11,AUMScorer,0.4990897937438809
nar,0.25,8,ModelScorer,0.8571428571428572
ncar,0.5,9,ModelScorer,0.6428571428571428
ncar,0.1,7,RandomForestScorer,0.8726560052235568
ncar,0.25,16,ModelScorer,0.8571428571428572
nnar,0.45,10,RandomForestScorer,0.7703113868218506
nnar,0.25,16,RandomForestScorer,0.8072235622528012
nnar,0.5,0,RandomForestScorer,0.7084201277726364
ncar,0.5,2,AUMScorer,0.5006998523432945
nar,0.45,1,RandomForestScorer,0.7736765231278976
nnar,0.1,6,RandomForestScorer,0.8067433778524769
ncar,0.05,15,AUMScorer,0.9034214188020496
nar,0.05,6,ModelScorer,0.9285714285714286
nar,0.15,9,RandomForestScorer,0.8457863570635509
ncar,0.1,16,ModelScorer,0.9285714285714286
ncar,0.15,6,ModelScorer,0.7857142857142857
nar,0.05,8,AUMScorer,0.9374646104528988
ncar,0.25,17,ModelScorer,0.9285714285714286
nnar,0.5,9,ModelScorer,0.6428571428571428
nnar,0.05,14,RandomForestScorer,0.8350492374708702
ncar,0.3,9,RandomForestScorer,0.8058499697117236
nar,0.45,10,ModelScorer,0.7857142857142857
ncar,0.5,3,RandomForestScorer,0.7659019930513445
nar,0.35,14,AUMScorer,0.9599170051287936
nar,0.2,9,RandomForestScorer,0.8257911216263927
nnar,0.1,6,ModelScorer,1.0
nar,0.15,18,ModelScorer,0.7857142857142857
nnar,0.3,8,RandomForestScorer,0.7923670799355709
ncar,0.4,0,ModelScorer,0.7857142857142857
ncar,0.4,2,AUMScorer,0.5049577861958023
nar,0.35,11,RandomForestScorer,0.7800702027463797
ncar,0.5,12,ModelScorer,0.6428571428571428
ncar,0.35,8,ModelScorer,0.7857142857142857
nar,0.05,14,ModelScorer,1.0
nnar,0.2,5,ModelScorer,0.7857142857142857
ncar,0.15,0,RandomForestScorer,0.8472990521786105
nar,0.1,7,ModelScorer,1.0
nnar,0.25,17,ModelScorer,0.7857142857142856
nar,0.5,3,RandomForestScorer,0.7718575788846769
nar,0.2,18,ModelScorer,0.8571428571428571
ncar,0.5,5,AUMScorer,0.97152648379054
nnar,0.25,19,AUMScorer,0.8126416863204854
nnar,0.45,13,AUMScorer,0.4868128066726623
nnar,0.5,3,AUMScorer,0.5022261869408058
nar,0.45,4,AUMScorer,0.9352380993372628
nnar,0.3,8,ModelScorer,0.6428571428571428
nar,0.4,0,ModelScorer,0.7142857142857143
ncar,0.05,18,AUMScorer,0.932381877183604
nar,0.1,8,ModelScorer,0.8571428571428571
nnar,0.05,17,AUMScorer,0.9248790706631348
ncar,0.3,12,AUMScorer,0.9258554015530378
nar,0.5,3,ModelScorer,0.7142857142857142
nar,0.05,8,RandomForestScorer,0.9018483069472338
ncar,0.2,1,AUMScorer,0.8985412160003955
ncar,0.35,2,AUMScorer,0.9652258657760068
nnar,0.15,8,ModelScorer,1.0
ncar,0.25,13,AUMScorer,0.9415096929485656
ncar,0.1,18,AUMScorer,0.9248304337815652
nnar,0.45,19,ModelScorer,0.6428571428571429
nar,0.1,1,AUMScorer,0.5166441582988273
ncar,0.25,19,RandomForestScorer,0.8106909506334934
nnar,0.35,1,RandomForestScorer,0.7283260845499989
nnar,0.15,1,AUMScorer,0.5239211257558294
nnar,0.1,17,RandomForestScorer,0.8284589703106182
nnar,0.3,2,RandomForestScorer,0.7472617671336939
nar,0.35,14,RandomForestScorer,0.7956399097295344
nnar,0.05,4,ModelScorer,0.9285714285714286
