method,fraction,run,algorithm,auc_score
ncar,0.25,0,AUMScorer,0.6854786577671931
ncar,0.25,0,RandomForestScorer,0.709221436001215
ncar,0.25,0,ModelScorer,0.6428571428571428
ncar,0.25,1,AUMScorer,0.7345185718206076
ncar,0.25,1,RandomForestScorer,0.7288029808401055
ncar,0.25,1,ModelScorer,0.7142857142857143
ncar,0.25,2,AUMScorer,0.6580163720028724
ncar,0.25,2,RandomForestScorer,0.7765410808489193
ncar,0.25,2,ModelScorer,0.7857142857142857
ncar,0.25,3,AUMScorer,0.5584313804962417
ncar,0.25,3,RandomForestScorer,0.7073232917825234
ncar,0.25,3,ModelScorer,0.7142857142857143
ncar,0.25,4,AUMScorer,0.6745560537994275
ncar,0.25,4,RandomForestScorer,0.6479120342520508
ncar,0.25,4,ModelScorer,0.7142857142857143
ncar,0.25,5,AUMScorer,0.7275029097780275
ncar,0.25,5,RandomForestScorer,0.707749785269959
ncar,0.25,5,ModelScorer,0.6428571428571428
ncar,0.25,6,AUMScorer,0.764105680545563
ncar,0.25,6,RandomForestScorer,0.7304523533426863
ncar,0.25,6,ModelScorer,0.7142857142857143
ncar,0.25,7,AUMScorer,0.7192912687462821
ncar,0.25,7,RandomForestScorer,0.760282808414751
ncar,0.25,7,ModelScorer,0.7142857142857143
ncar,0.25,8,AUMScorer,0.6934834759894
ncar,0.25,8,RandomForestScorer,0.7531341677532987
ncar,0.25,8,ModelScorer,0.7142857142857143
ncar,0.25,9,AUMScorer,0.698043721097145
ncar,0.25,9,RandomForestScorer,0.7807876692019117
ncar,0.25,9,ModelScorer,0.8571428571428571
ncar,0.3,0,AUMScorer,0.450368849250322
ncar,0.3,0,RandomForestScorer,0.6649438150249768
ncar,0.3,0,ModelScorer,0.6428571428571429
ncar,0.3,1,AUMScorer,0.727283330856169
ncar,0.3,1,RandomForestScorer,0.7198042743119669
ncar,0.3,1,ModelScorer,0.5714285714285715
ncar,0.3,2,AUMScorer,0.715126852241071
ncar,0.3,2,RandomForestScorer,0.7812457262880625
ncar,0.3,2,ModelScorer,0.6428571428571429
